"trainer/global_step","fresh-sun-3 - _step","fresh-sun-3 - _step__MIN","fresh-sun-3 - _step__MAX","fresh-sun-3 - train/rel_error","fresh-sun-3 - train/rel_error__MIN","fresh-sun-3 - train/rel_error__MAX","royal-fire-2 - _step","royal-fire-2 - _step__MIN","royal-fire-2 - _step__MAX","royal-fire-2 - train/rel_error","royal-fire-2 - train/rel_error__MIN","royal-fire-2 - train/rel_error__MAX","floral-breeze-1 - _step","floral-breeze-1 - _step__MIN","floral-breeze-1 - _step__MAX","floral-breeze-1 - train/rel_error","floral-breeze-1 - train/rel_error__MIN","floral-breeze-1 - train/rel_error__MAX"
"2079","170","170","170","0.07114239037036896","0.07114239037036896","0.07114239037036896","170","170","170","0.07120275497436523","0.07120275497436523","0.07120275497436523","170","170","170","0.10468395054340363","0.10468395054340363","0.10468395054340363"
"2095","171","171","171","0.07090149074792862","0.07090149074792862","0.07090149074792862","171","171","171","0.07094694674015045","0.07094694674015045","0.07094694674015045","171","171","171","0.10438381880521774","0.10438381880521774","0.10438381880521774"
"2111","173","173","173","0.07078327238559723","0.07078327238559723","0.07078327238559723","173","173","173","0.07078869640827179","0.07078869640827179","0.07078869640827179","173","173","173","0.10415069013834","0.10415069013834","0.10415069013834"
"2127","174","174","174","0.07061579078435898","0.07061579078435898","0.07061579078435898","174","174","174","0.0706288293004036","0.0706288293004036","0.0706288293004036","174","174","174","0.10384811460971832","0.10384811460971832","0.10384811460971832"
"2143","175","175","175","0.07051766663789749","0.07051766663789749","0.07051766663789749","175","175","175","0.07054165750741959","0.07054165750741959","0.07054165750741959","175","175","175","0.10368070751428604","0.10368070751428604","0.10368070751428604"
"2159","177","177","177","0.0703074187040329","0.0703074187040329","0.0703074187040329","177","177","177","0.07032690197229385","0.07032690197229385","0.07032690197229385","177","177","177","0.1036115437746048","0.1036115437746048","0.1036115437746048"
"2175","178","178","178","0.07009398937225342","0.07009398937225342","0.07009398937225342","178","178","178","0.07009025663137436","0.07009025663137436","0.07009025663137436","178","178","178","0.10324320197105408","0.10324320197105408","0.10324320197105408"
"2191","179","179","179","0.0700729712843895","0.0700729712843895","0.0700729712843895","179","179","179","0.06996649503707886","0.06996649503707886","0.06996649503707886","179","179","179","0.10306986421346664","0.10306986421346664","0.10306986421346664"
"2207","181","181","181","0.0700157955288887","0.0700157955288887","0.0700157955288887","181","181","181","0.06978937983512878","0.06978937983512878","0.06978937983512878","181","181","181","0.10293292999267578","0.10293292999267578","0.10293292999267578"
"2223","182","182","182","0.06982278823852539","0.06982278823852539","0.06982278823852539","182","182","182","0.06964951753616333","0.06964951753616333","0.06964951753616333","182","182","182","0.10265042632818222","0.10265042632818222","0.10265042632818222"
"2239","183","183","183","0.06939776986837387","0.06939776986837387","0.06939776986837387","183","183","183","0.06943568587303162","0.06943568587303162","0.06943568587303162","183","183","183","0.10231967270374298","0.10231967270374298","0.10231967270374298"
"2255","185","185","185","0.06929256021976471","0.06929256021976471","0.06929256021976471","185","185","185","0.06929116696119308","0.06929116696119308","0.06929116696119308","185","185","185","0.10211551934480667","0.10211551934480667","0.10211551934480667"
"2271","186","186","186","0.06895076483488083","0.06895076483488083","0.06895076483488083","186","186","186","0.06902360171079636","0.06902360171079636","0.06902360171079636","186","186","186","0.10192159563302994","0.10192159563302994","0.10192159563302994"
"2287","187","187","187","0.06900684535503387","0.06900684535503387","0.06900684535503387","187","187","187","0.06897154450416565","0.06897154450416565","0.06897154450416565","187","187","187","0.10166720300912857","0.10166720300912857","0.10166720300912857"
"2303","189","189","189","0.0687280222773552","0.0687280222773552","0.0687280222773552","189","189","189","0.06874682009220123","0.06874682009220123","0.06874682009220123","189","189","189","0.10174340754747391","0.10174340754747391","0.10174340754747391"
"2319","190","190","190","0.06881143897771835","0.06881143897771835","0.06881143897771835","190","190","190","0.06867888569831848","0.06867888569831848","0.06867888569831848","190","190","190","0.10137084871530533","0.10137084871530533","0.10137084871530533"
"2335","191","191","191","0.06846211850643158","0.06846211850643158","0.06846211850643158","191","191","191","0.06835237890481949","0.06835237890481949","0.06835237890481949","191","191","191","0.1011064425110817","0.1011064425110817","0.1011064425110817"
"2351","193","193","193","0.06825637817382812","0.06825637817382812","0.06825637817382812","193","193","193","0.0682472437620163","0.0682472437620163","0.0682472437620163","193","193","193","0.10095085203647614","0.10095085203647614","0.10095085203647614"
"2367","194","194","194","0.06807932257652283","0.06807932257652283","0.06807932257652283","194","194","194","0.06804849207401276","0.06804849207401276","0.06804849207401276","194","194","194","0.10065765678882599","0.10065765678882599","0.10065765678882599"
"2383","195","195","195","0.06803682446479797","0.06803682446479797","0.06803682446479797","195","195","195","0.0679331123828888","0.0679331123828888","0.0679331123828888","195","195","195","0.10039067268371582","0.10039067268371582","0.10039067268371582"
"2399","197","197","197","0.06798925995826721","0.06798925995826721","0.06798925995826721","197","197","197","0.06779894232749939","0.06779894232749939","0.06779894232749939","197","197","197","0.10028786212205887","0.10028786212205887","0.10028786212205887"
"2415","198","198","198","0.06776030361652374","0.06776030361652374","0.06776030361652374","198","198","198","0.0676666796207428","0.0676666796207428","0.0676666796207428","198","198","198","0.10009729862213135","0.10009729862213135","0.10009729862213135"
"2431","199","199","199","0.06748971343040466","0.06748971343040466","0.06748971343040466","199","199","199","0.06746046245098114","0.06746046245098114","0.06746046245098114","199","199","199","0.0998741164803505","0.0998741164803505","0.0998741164803505"
"2447","200","200","200","0.06732602417469025","0.06732602417469025","0.06732602417469025","200","200","200","0.0672488659620285","0.0672488659620285","0.0672488659620285","200","200","200","0.0997333824634552","0.0997333824634552","0.0997333824634552"
"2463","202","202","202","0.0671890377998352","0.0671890377998352","0.0671890377998352","202","202","202","0.0671054944396019","0.0671054944396019","0.0671054944396019","202","202","202","0.09973859786987305","0.09973859786987305","0.09973859786987305"
"2479","203","203","203","0.06707803159952164","0.06707803159952164","0.06707803159952164","203","203","203","0.06702051311731339","0.06702051311731339","0.06702051311731339","203","203","203","0.09937164187431335","0.09937164187431335","0.09937164187431335"
"2495","204","204","204","0.06680743396282196","0.06680743396282196","0.06680743396282196","204","204","204","0.06682384014129639","0.06682384014129639","0.06682384014129639","204","204","204","0.0990530401468277","0.0990530401468277","0.0990530401468277"
"2511","206","206","206","0.06673728674650192","0.06673728674650192","0.06673728674650192","206","206","206","0.06670703738927841","0.06670703738927841","0.06670703738927841","206","206","206","0.09881740808486938","0.09881740808486938","0.09881740808486938"
"2527","207","207","207","0.06661108136177063","0.06661108136177063","0.06661108136177063","207","207","207","0.0664796233177185","0.0664796233177185","0.0664796233177185","207","207","207","0.09876850247383118","0.09876850247383118","0.09876850247383118"
"2543","208","208","208","0.06644445657730103","0.06644445657730103","0.06644445657730103","208","208","208","0.0663600042462349","0.0663600042462349","0.0663600042462349","208","208","208","0.09844981133937836","0.09844981133937836","0.09844981133937836"
"2559","210","210","210","0.06640888750553131","0.06640888750553131","0.06640888750553131","210","210","210","0.06625260412693024","0.06625260412693024","0.06625260412693024","210","210","210","0.0982351154088974","0.0982351154088974","0.0982351154088974"
"2575","211","211","211","0.06614203006029129","0.06614203006029129","0.06614203006029129","211","211","211","0.0660802572965622","0.0660802572965622","0.0660802572965622","211","211","211","0.09815580397844315","0.09815580397844315","0.09815580397844315"
"2591","212","212","212","0.06599807739257812","0.06599807739257812","0.06599807739257812","212","212","212","0.0658860057592392","0.0658860057592392","0.0658860057592392","212","212","212","0.09794817119836807","0.09794817119836807","0.09794817119836807"
"2607","214","214","214","0.06589856743812561","0.06589856743812561","0.06589856743812561","214","214","214","0.06581254303455353","0.06581254303455353","0.06581254303455353","214","214","214","0.09766187518835068","0.09766187518835068","0.09766187518835068"
"2623","215","215","215","0.06591541320085526","0.06591541320085526","0.06591541320085526","215","215","215","0.06554451584815979","0.06554451584815979","0.06554451584815979","215","215","215","0.09757846593856812","0.09757846593856812","0.09757846593856812"
"2639","216","216","216","0.06569349020719528","0.06569349020719528","0.06569349020719528","216","216","216","0.06550844758749008","0.06550844758749008","0.06550844758749008","216","216","216","0.09736063331365585","0.09736063331365585","0.09736063331365585"
"2655","218","218","218","0.06539336591959","0.06539336591959","0.06539336591959","218","218","218","0.06529165804386139","0.06529165804386139","0.06529165804386139","218","218","218","0.09720324724912643","0.09720324724912643","0.09720324724912643"
"2671","219","219","219","0.06563560664653778","0.06563560664653778","0.06563560664653778","219","219","219","0.06517532467842102","0.06517532467842102","0.06517532467842102","219","219","219","0.09693144261837006","0.09693144261837006","0.09693144261837006"
"2687","220","220","220","0.06509486585855484","0.06509486585855484","0.06509486585855484","220","220","220","0.0650322437286377","0.0650322437286377","0.0650322437286377","220","220","220","0.09685283154249191","0.09685283154249191","0.09685283154249191"
"2703","222","222","222","0.06511851400136948","0.06511851400136948","0.06511851400136948","222","222","222","0.06496571004390717","0.06496571004390717","0.06496571004390717","222","222","222","0.09668179601430893","0.09668179601430893","0.09668179601430893"
"2719","223","223","223","0.06490392982959747","0.06490392982959747","0.06490392982959747","223","223","223","0.06481688469648361","0.06481688469648361","0.06481688469648361","223","223","223","0.09658338129520416","0.09658338129520416","0.09658338129520416"
"2735","224","224","224","0.06488652527332306","0.06488652527332306","0.06488652527332306","224","224","224","0.06452903896570206","0.06452903896570206","0.06452903896570206","224","224","224","0.09631944447755814","0.09631944447755814","0.09631944447755814"
"2751","226","226","226","0.06464100629091263","0.06464100629091263","0.06464100629091263","226","226","226","0.06445467472076416","0.06445467472076416","0.06445467472076416","226","226","226","0.09609757363796234","0.09609757363796234","0.09609757363796234"
"2767","227","227","227","0.06444583088159561","0.06444583088159561","0.06444583088159561","227","227","227","0.06430070847272873","0.06430070847272873","0.06430070847272873","227","227","227","0.09609484672546387","0.09609484672546387","0.09609484672546387"
"2783","228","228","228","0.06432374566793442","0.06432374566793442","0.06432374566793442","228","228","228","0.06419262290000916","0.06419262290000916","0.06419262290000916","228","228","228","0.09602370858192444","0.09602370858192444","0.09602370858192444"
"2799","230","230","230","0.06415142863988876","0.06415142863988876","0.06415142863988876","230","230","230","0.06401999294757843","0.06401999294757843","0.06401999294757843","230","230","230","0.09591026604175568","0.09591026604175568","0.09591026604175568"
"2815","231","231","231","0.06399459391832352","0.06399459391832352","0.06399459391832352","231","231","231","0.06393592804670334","0.06393592804670334","0.06393592804670334","231","231","231","0.09552282840013504","0.09552282840013504","0.09552282840013504"
"2831","232","232","232","0.06382863968610764","0.06382863968610764","0.06382863968610764","232","232","232","0.06374915689229965","0.06374915689229965","0.06374915689229965","232","232","232","0.09531407058238983","0.09531407058238983","0.09531407058238983"
"2847","233","233","233","0.06379514932632446","0.06379514932632446","0.06379514932632446","233","233","233","0.0636015459895134","0.0636015459895134","0.0636015459895134","233","233","233","0.0952441468834877","0.0952441468834877","0.0952441468834877"
"2863","235","235","235","0.06371887773275375","0.06371887773275375","0.06371887773275375","235","235","235","0.06344489753246307","0.06344489753246307","0.06344489753246307","235","235","235","0.09481678903102875","0.09481678903102875","0.09481678903102875"
"2879","236","236","236","0.06346581876277924","0.06346581876277924","0.06346581876277924","236","236","236","0.06334596872329712","0.06334596872329712","0.06334596872329712","236","236","236","0.09482204169034958","0.09482204169034958","0.09482204169034958"
"2895","237","237","237","0.06355685740709305","0.06355685740709305","0.06355685740709305","237","237","237","0.06324873119592667","0.06324873119592667","0.06324873119592667","237","237","237","0.09478278458118439","0.09478278458118439","0.09478278458118439"
"2911","239","239","239","0.06365716457366943","0.06365716457366943","0.06365716457366943","239","239","239","0.06303340196609497","0.06303340196609497","0.06303340196609497","239","239","239","0.09456285089254379","0.09456285089254379","0.09456285089254379"
"2927","240","240","240","0.0633271113038063","0.0633271113038063","0.0633271113038063","240","240","240","0.06288107484579086","0.06288107484579086","0.06288107484579086","240","240","240","0.09415479004383087","0.09415479004383087","0.09415479004383087"
"2943","241","241","241","0.06321072578430176","0.06321072578430176","0.06321072578430176","241","241","241","0.06281322240829468","0.06281322240829468","0.06281322240829468","241","241","241","0.094109907746315","0.094109907746315","0.094109907746315"
"2959","243","243","243","0.0632021576166153","0.0632021576166153","0.0632021576166153","243","243","243","0.06268119812011719","0.06268119812011719","0.06268119812011719","243","243","243","0.09411431849002838","0.09411431849002838","0.09411431849002838"
"2975","244","244","244","0.06288124620914459","0.06288124620914459","0.06288124620914459","244","244","244","0.06257709115743637","0.06257709115743637","0.06257709115743637","244","244","244","0.09384462237358093","0.09384462237358093","0.09384462237358093"
"2991","245","245","245","0.06261298060417175","0.06261298060417175","0.06261298060417175","245","245","245","0.062448933720588684","0.062448933720588684","0.062448933720588684","245","245","245","0.09349635243415833","0.09349635243415833","0.09349635243415833"
"3007","247","247","247","0.06296578049659729","0.06296578049659729","0.06296578049659729","247","247","247","0.062418848276138306","0.062418848276138306","0.062418848276138306","247","247","247","0.09339243918657303","0.09339243918657303","0.09339243918657303"
"3023","248","248","248","0.062371931970119476","0.062371931970119476","0.062371931970119476","248","248","248","0.062136948108673096","0.062136948108673096","0.062136948108673096","248","248","248","0.0932944044470787","0.0932944044470787","0.0932944044470787"
"3039","249","249","249","0.062169961631298065","0.062169961631298065","0.062169961631298065","249","249","249","0.06201542541384697","0.06201542541384697","0.06201542541384697","249","249","249","0.09315593540668488","0.09315593540668488","0.09315593540668488"
"3055","251","251","251","0.061974845826625824","0.061974845826625824","0.061974845826625824","251","251","251","0.0617944709956646","0.0617944709956646","0.0617944709956646","251","251","251","0.09293010830879211","0.09293010830879211","0.09293010830879211"
"3071","252","252","252","0.06192219257354736","0.06192219257354736","0.06192219257354736","252","252","252","0.061740461736917496","0.061740461736917496","0.061740461736917496","252","252","252","0.09275069832801819","0.09275069832801819","0.09275069832801819"
"3087","253","253","253","0.06191244721412659","0.06191244721412659","0.06191244721412659","253","253","253","0.06156546622514725","0.06156546622514725","0.06156546622514725","253","253","253","0.09277396649122238","0.09277396649122238","0.09277396649122238"
"3103","255","255","255","0.06177667900919914","0.06177667900919914","0.06177667900919914","255","255","255","0.06144866719841957","0.06144866719841957","0.06144866719841957","255","255","255","0.09244728088378906","0.09244728088378906","0.09244728088378906"
"3119","256","256","256","0.06153653562068939","0.06153653562068939","0.06153653562068939","256","256","256","0.061330970376729965","0.061330970376729965","0.061330970376729965","256","256","256","0.09237842261791229","0.09237842261791229","0.09237842261791229"
"3135","257","257","257","0.06149207428097725","0.06149207428097725","0.06149207428097725","257","257","257","0.06126277521252632","0.06126277521252632","0.06126277521252632","257","257","257","0.09229028970003128","0.09229028970003128","0.09229028970003128"
"3151","259","259","259","0.06155891716480255","0.06155891716480255","0.06155891716480255","259","259","259","0.061115797609090805","0.061115797609090805","0.061115797609090805","259","259","259","0.09209886193275452","0.09209886193275452","0.09209886193275452"
"3167","260","260","260","0.061310775578022","0.061310775578022","0.061310775578022","260","260","260","0.060933999717235565","0.060933999717235565","0.060933999717235565","260","260","260","0.09224308282136917","0.09224308282136917","0.09224308282136917"
"3183","261","261","261","0.061071451753377914","0.061071451753377914","0.061071451753377914","261","261","261","0.06083011254668236","0.06083011254668236","0.06083011254668236","261","261","261","0.09241204708814621","0.09241204708814621","0.09241204708814621"
"3199","263","263","263","0.06087857112288475","0.06087857112288475","0.06087857112288475","263","263","263","0.06072673946619034","0.06072673946619034","0.06072673946619034","263","263","263","0.09197257459163666","0.09197257459163666","0.09197257459163666"
"3215","264","264","264","0.0607176311314106","0.0607176311314106","0.0607176311314106","264","264","264","0.06053134799003601","0.06053134799003601","0.06053134799003601","264","264","264","0.09127744287252426","0.09127744287252426","0.09127744287252426"
"3231","265","265","265","0.06056526303291321","0.06056526303291321","0.06056526303291321","265","265","265","0.0603497214615345","0.0603497214615345","0.0603497214615345","265","265","265","0.09119707345962524","0.09119707345962524","0.09119707345962524"
"3247","266","266","266","0.060496941208839417","0.060496941208839417","0.060496941208839417","266","266","266","0.06024612486362457","0.06024612486362457","0.06024612486362457","266","266","266","0.09096833318471909","0.09096833318471909","0.09096833318471909"
"3263","268","268","268","0.060470208525657654","0.060470208525657654","0.060470208525657654","268","268","268","0.06019427254796028","0.06019427254796028","0.06019427254796028","268","268","268","0.09097003191709518","0.09097003191709518","0.09097003191709518"
"3279","269","269","269","0.06032392755150795","0.06032392755150795","0.06032392755150795","269","269","269","0.060042452067136765","0.060042452067136765","0.060042452067136765","269","269","269","0.090790756046772","0.090790756046772","0.090790756046772"
"3295","270","270","270","0.060328371822834015","0.060328371822834015","0.060328371822834015","270","270","270","0.059924110770225525","0.059924110770225525","0.059924110770225525","270","270","270","0.09125113487243652","0.09125113487243652","0.09125113487243652"
"3311","272","272","272","0.06036954000592232","0.06036954000592232","0.06036954000592232","272","272","272","0.05974608659744263","0.05974608659744263","0.05974608659744263","272","272","272","0.09073907136917114","0.09073907136917114","0.09073907136917114"
"3327","273","273","273","0.060099419206380844","0.060099419206380844","0.060099419206380844","273","273","273","0.05965040251612663","0.05965040251612663","0.05965040251612663","273","273","273","0.09044697880744934","0.09044697880744934","0.09044697880744934"
"3343","274","274","274","0.059958700090646744","0.059958700090646744","0.059958700090646744","274","274","274","0.0594724640250206","0.0594724640250206","0.0594724640250206","274","274","274","0.09021560847759247","0.09021560847759247","0.09021560847759247"
"3359","276","276","276","0.059680186212062836","0.059680186212062836","0.059680186212062836","276","276","276","0.05937131121754646","0.05937131121754646","0.05937131121754646","276","276","276","0.09002873301506042","0.09002873301506042","0.09002873301506042"
"3375","277","277","277","0.059750963002443314","0.059750963002443314","0.059750963002443314","277","277","277","0.05927103012800217","0.05927103012800217","0.05927103012800217","277","277","277","0.08995497226715088","0.08995497226715088","0.08995497226715088"
"3391","278","278","278","0.05954650416970253","0.05954650416970253","0.05954650416970253","278","278","278","0.05917471647262573","0.05917471647262573","0.05917471647262573","278","278","278","0.08974295854568481","0.08974295854568481","0.08974295854568481"
"3407","280","280","280","0.059375301003456116","0.059375301003456116","0.059375301003456116","280","280","280","0.05907852202653885","0.05907852202653885","0.05907852202653885","280","280","280","0.08960294723510742","0.08960294723510742","0.08960294723510742"
"3423","281","281","281","0.0592302568256855","0.0592302568256855","0.0592302568256855","281","281","281","0.058992452919483185","0.058992452919483185","0.058992452919483185","281","281","281","0.08933789283037186","0.08933789283037186","0.08933789283037186"
"3439","282","282","282","0.05907827243208885","0.05907827243208885","0.05907827243208885","282","282","282","0.05889653041958809","0.05889653041958809","0.05889653041958809","282","282","282","0.08946658670902252","0.08946658670902252","0.08946658670902252"
"3455","284","284","284","0.05889992043375969","0.05889992043375969","0.05889992043375969","284","284","284","0.05871595814824104","0.05871595814824104","0.05871595814824104","284","284","284","0.0891239196062088","0.0891239196062088","0.0891239196062088"
"3471","285","285","285","0.05887764319777489","0.05887764319777489","0.05887764319777489","285","285","285","0.0585835762321949","0.0585835762321949","0.0585835762321949","285","285","285","0.08927007764577866","0.08927007764577866","0.08927007764577866"
"3487","286","286","286","0.05892535671591759","0.05892535671591759","0.05892535671591759","286","286","286","0.058492328971624374","0.058492328971624374","0.058492328971624374","286","286","286","0.08926580846309662","0.08926580846309662","0.08926580846309662"
"3503","288","288","288","0.058873604983091354","0.058873604983091354","0.058873604983091354","288","288","288","0.05846947804093361","0.05846947804093361","0.05846947804093361","288","288","288","0.08969775587320328","0.08969775587320328","0.08969775587320328"
"3519","289","289","289","0.05846234783530235","0.05846234783530235","0.05846234783530235","289","289","289","0.05814508721232414","0.05814508721232414","0.05814508721232414","289","289","289","0.08852443844079971","0.08852443844079971","0.08852443844079971"
"3535","290","290","290","0.058368705213069916","0.058368705213069916","0.058368705213069916","290","290","290","0.05810212343931198","0.05810212343931198","0.05810212343931198","290","290","290","0.08857880532741547","0.08857880532741547","0.08857880532741547"
"3551","292","292","292","0.0584571473300457","0.0584571473300457","0.0584571473300457","292","292","292","0.057970982044935226","0.057970982044935226","0.057970982044935226","292","292","292","0.08828485757112503","0.08828485757112503","0.08828485757112503"
"3567","293","293","293","0.05809928476810455","0.05809928476810455","0.05809928476810455","293","293","293","0.05785573273897171","0.05785573273897171","0.05785573273897171","293","293","293","0.08819156885147095","0.08819156885147095","0.08819156885147095"
"3583","294","294","294","0.0581381693482399","0.0581381693482399","0.0581381693482399","294","294","294","0.05779341980814934","0.05779341980814934","0.05779341980814934","294","294","294","0.08788926899433136","0.08788926899433136","0.08788926899433136"
"3599","296","296","296","0.058004606515169144","0.058004606515169144","0.058004606515169144","296","296","296","0.05765237659215927","0.05765237659215927","0.05765237659215927","296","296","296","0.08792118728160858","0.08792118728160858","0.08792118728160858"
"3615","297","297","297","0.05783485993742943","0.05783485993742943","0.05783485993742943","297","297","297","0.057530347257852554","0.057530347257852554","0.057530347257852554","297","297","297","0.08798699826002121","0.08798699826002121","0.08798699826002121"
"3631","298","298","298","0.057764019817113876","0.057764019817113876","0.057764019817113876","298","298","298","0.05735907331109047","0.05735907331109047","0.05735907331109047","298","298","298","0.08919177949428558","0.08919177949428558","0.08919177949428558"
"3647","299","299","299","0.05780429020524025","0.05780429020524025","0.05780429020524025","299","299","299","0.05737276375293732","0.05737276375293732","0.05737276375293732","299","299","299","0.0883994773030281","0.0883994773030281","0.0883994773030281"
"3663","301","301","301","0.057769082486629486","0.057769082486629486","0.057769082486629486","301","301","301","0.05715480074286461","0.05715480074286461","0.05715480074286461","301","301","301","0.0876641720533371","0.0876641720533371","0.0876641720533371"
"3679","302","302","302","0.057717517018318176","0.057717517018318176","0.057717517018318176","302","302","302","0.057166047394275665","0.057166047394275665","0.057166047394275665","302","302","302","0.08759108930826187","0.08759108930826187","0.08759108930826187"
"3695","303","303","303","0.05753124877810478","0.05753124877810478","0.05753124877810478","303","303","303","0.05703424662351608","0.05703424662351608","0.05703424662351608","303","303","303","0.0872282087802887","0.0872282087802887","0.0872282087802887"
"3711","305","305","305","0.057061851024627686","0.057061851024627686","0.057061851024627686","305","305","305","0.05680108070373535","0.05680108070373535","0.05680108070373535","305","305","305","0.08700136840343475","0.08700136840343475","0.08700136840343475"
"3727","306","306","306","0.05700456351041794","0.05700456351041794","0.05700456351041794","306","306","306","0.05674426630139351","0.05674426630139351","0.05674426630139351","306","306","306","0.08675988018512726","0.08675988018512726","0.08675988018512726"
"3743","307","307","307","0.057018183171749115","0.057018183171749115","0.057018183171749115","307","307","307","0.0566050186753273","0.0566050186753273","0.0566050186753273","307","307","307","0.08674143999814987","0.08674143999814987","0.08674143999814987"
"3759","309","309","309","0.05745197460055351","0.05745197460055351","0.05745197460055351","309","309","309","0.056619852781295776","0.056619852781295776","0.056619852781295776","309","309","309","0.08702602982521057","0.08702602982521057","0.08702602982521057"
"3775","310","310","310","0.0570606105029583","0.0570606105029583","0.0570606105029583","310","310","310","0.05637921765446663","0.05637921765446663","0.05637921765446663","310","310","310","0.0867510735988617","0.0867510735988617","0.0867510735988617"
"3791","311","311","311","0.05657312273979187","0.05657312273979187","0.05657312273979187","311","311","311","0.05620935559272766","0.05620935559272766","0.05620935559272766","311","311","311","0.08627110719680786","0.08627110719680786","0.08627110719680786"
"3807","313","313","313","0.05686403438448906","0.05686403438448906","0.05686403438448906","313","313","313","0.05612390860915184","0.05612390860915184","0.05612390860915184","313","313","313","0.08631136268377304","0.08631136268377304","0.08631136268377304"
"3823","314","314","314","0.05633334070444107","0.05633334070444107","0.05633334070444107","314","314","314","0.05598802492022514","0.05598802492022514","0.05598802492022514","314","314","314","0.08583170175552368","0.08583170175552368","0.08583170175552368"
"3839","315","315","315","0.05629613995552063","0.05629613995552063","0.05629613995552063","315","315","315","0.05599303916096687","0.05599303916096687","0.05599303916096687","315","315","315","0.08593776077032089","0.08593776077032089","0.08593776077032089"
"3855","317","317","317","0.05620031803846359","0.05620031803846359","0.05620031803846359","317","317","317","0.055881302803754807","0.055881302803754807","0.055881302803754807","317","317","317","0.08602666854858398","0.08602666854858398","0.08602666854858398"
"3871","318","318","318","0.056019026786088943","0.056019026786088943","0.056019026786088943","318","318","318","0.0556965246796608","0.0556965246796608","0.0556965246796608","318","318","318","0.08566923439502716","0.08566923439502716","0.08566923439502716"
"3887","319","319","319","0.05600250884890556","0.05600250884890556","0.05600250884890556","319","319","319","0.05555301159620285","0.05555301159620285","0.05555301159620285","319","319","319","0.08547104895114899","0.08547104895114899","0.08547104895114899"
"3903","321","321","321","0.055860485881567","0.055860485881567","0.055860485881567","321","321","321","0.05545224994421005","0.05545224994421005","0.05545224994421005","321","321","321","0.08523406088352203","0.08523406088352203","0.08523406088352203"
"3919","322","322","322","0.055955130606889725","0.055955130606889725","0.055955130606889725","322","322","322","0.05540531501173973","0.05540531501173973","0.05540531501173973","322","322","322","0.08527600020170212","0.08527600020170212","0.08527600020170212"
"3935","323","323","323","0.05592440813779831","0.05592440813779831","0.05592440813779831","323","323","323","0.055291056632995605","0.055291056632995605","0.055291056632995605","323","323","323","0.08549869805574417","0.08549869805574417","0.08549869805574417"
"3951","325","325","325","0.055725812911987305","0.055725812911987305","0.055725812911987305","325","325","325","0.055205926299095154","0.055205926299095154","0.055205926299095154","325","325","325","0.08623963594436646","0.08623963594436646","0.08623963594436646"
"3967","326","326","326","0.055672019720077515","0.055672019720077515","0.055672019720077515","326","326","326","0.05505422130227089","0.05505422130227089","0.05505422130227089","326","326","326","0.08512315154075623","0.08512315154075623","0.08512315154075623"
"3983","327","327","327","0.05542357638478279","0.05542357638478279","0.05542357638478279","327","327","327","0.05489243566989899","0.05489243566989899","0.05489243566989899","327","327","327","0.0847209095954895","0.0847209095954895","0.0847209095954895"
"3999","329","329","329","0.05542052164673805","0.05542052164673805","0.05542052164673805","329","329","329","0.05479855462908745","0.05479855462908745","0.05479855462908745","329","329","329","0.08472146093845367","0.08472146093845367","0.08472146093845367"
"4015","330","330","330","0.0551457554101944","0.0551457554101944","0.0551457554101944","330","330","330","0.054760582745075226","0.054760582745075226","0.054760582745075226","330","330","330","0.08449762314558029","0.08449762314558029","0.08449762314558029"
"4031","331","331","331","0.055003564804792404","0.055003564804792404","0.055003564804792404","331","331","331","0.05473824590444565","0.05473824590444565","0.05473824590444565","331","331","331","0.08455534279346466","0.08455534279346466","0.08455534279346466"
"4047","332","332","332","0.05492096021771431","0.05492096021771431","0.05492096021771431","332","332","332","0.05474088340997696","0.05474088340997696","0.05474088340997696","332","332","332","0.0842425525188446","0.0842425525188446","0.0842425525188446"
"4063","334","334","334","0.05481283739209175","0.05481283739209175","0.05481283739209175","334","334","334","0.05465967208147049","0.05465967208147049","0.05465967208147049","334","334","334","0.08398893475532532","0.08398893475532532","0.08398893475532532"
"4079","335","335","335","0.05489743873476982","0.05489743873476982","0.05489743873476982","335","335","335","0.05453791841864586","0.05453791841864586","0.05453791841864586","335","335","335","0.08390600979328156","0.08390600979328156","0.08390600979328156"
"4095","336","336","336","0.05469305440783501","0.05469305440783501","0.05469305440783501","336","336","336","0.05432789772748947","0.05432789772748947","0.05432789772748947","336","336","336","0.08387845009565353","0.08387845009565353","0.08387845009565353"
"4111","338","338","338","0.05456811562180519","0.05456811562180519","0.05456811562180519","338","338","338","0.05409328266978264","0.05409328266978264","0.05409328266978264","338","338","338","0.08388718962669373","0.08388718962669373","0.08388718962669373"
"4127","339","339","339","0.054733436554670334","0.054733436554670334","0.054733436554670334","339","339","339","0.053978290408849716","0.053978290408849716","0.053978290408849716","339","339","339","0.08371564000844955","0.08371564000844955","0.08371564000844955"
"4143","340","340","340","0.05460738018155098","0.05460738018155098","0.05460738018155098","340","340","340","0.05391944572329521","0.05391944572329521","0.05391944572329521","340","340","340","0.08389731496572495","0.08389731496572495","0.08389731496572495"
"4159","342","342","342","0.05454627797007561","0.05454627797007561","0.05454627797007561","342","342","342","0.05377444997429848","0.05377444997429848","0.05377444997429848","342","342","342","0.0837518572807312","0.0837518572807312","0.0837518572807312"
